droplet_size,ncols,ndroplets,nrows,nservers,nvectors,straggling_factor,wait_for,delay
32,32,2960,31573,20,200,1.0,1,457825476.30367136
32,32,2961,31584,21,210,1.0,1,459071051.01872927
32,32,2970,31680,22,220,1.0,1,457394540.5497023
32,32,2976,31744,24,240,1.0,1,458438632.70235324
32,32,2982,31808,42,420,1.0,1,458328680.20324117
32,32,2989,31883,49,490,1.0,1,458248129.8133651
32,32,2990,31893,65,650,1.0,1,458953332.58359927
32,32,2992,31915,68,680,1.0,1,459869486.40550184
32,32,2993,31925,73,730,1.0,1,458789193.2585048
32,32,3000,32000,75,750,1.0,1,458925927.61959547
32,32,3003,32032,77,770,1.0,1,459938789.12048495
32,32,3008,32085,94,940,1.0,1,461732285.578603
32,32,3016,32171,104,1040,1.0,1,462355457.1077907
32,32,3025,32267,121,1210,1.0,1,464425330.3050768
32,32,3040,32427,152,1520,1.0,1,465425418.1284133
32,32,3042,32448,169,1690,1.0,1,465683742.31379205
32,32,3043,32459,179,1790,1.0,1,465341310.9290045
32,33,3056,32597,191,1910,1.0,1,482501682.11403215
32,33,3060,32640,204,2040,1.0,1,482728008.5162032
32,33,3066,32704,219,2190,1.0,1,483161180.08557045
32,33,3068,32725,236,2360,1.0,1,483251158.0382503
32,33,3081,32864,237,2370,1.0,1,484055412.35246176
32,33,3084,32896,257,2570,1.0,1,486476747.80566627
32,33,3091,32971,281,2810,1.0,1,486938696.29684085
32,33,3102,33088,282,2820,1.0,1,488076192.9697811
32,33,3110,33173,311,3110,1.0,1,489484255.8561881
32,33,3120,33280,312,3120,1.0,1,491230140.83647066
32,33,3123,33312,347,3470,1.0,1,491412196.43675214
32,33,3125,33333,625,6250,1.0,1,493649116.48359823
