droplet_size,ncols,ndroplets,nrows,nservers,nvectors,straggling_factor,wait_for,delay
32,32,2960,31573,20,200,1.0,10,489432259.2928755
32,32,2961,31584,21,210,1.0,11,483411673.5609079
32,32,2970,31680,22,220,1.0,11,492290762.52921903
32,32,2976,31744,24,240,1.0,12,493739567.60884774
32,32,2982,31808,42,420,1.0,21,489527184.70742846
32,32,2989,31883,49,490,1.0,25,489858959.4596418
32,32,2990,31893,65,650,1.0,33,489835342.59222764
32,32,2992,31915,68,680,1.0,34,488652013.93531066
32,32,2993,31925,73,730,1.0,37,491924832.7111763
32,32,3000,32000,75,750,1.0,38,493496983.7739734
32,32,3003,32032,77,770,1.0,39,494085265.082218
32,32,3008,32085,94,940,1.0,47,495130448.1760285
32,32,3016,32171,104,1040,1.0,52,497374237.095046
32,32,3025,32267,121,1210,1.0,61,497644966.29471695
32,32,3040,32427,152,1520,1.0,76,501470475.10417444
32,32,3042,32448,169,1690,1.0,85,501055210.47477156
32,32,3043,32459,179,1790,1.0,90,502672519.5566345
32,33,3056,32597,191,1910,1.0,96,519168558.66807383
32,33,3060,32640,204,2040,1.0,102,518086406.85300773
32,33,3066,32704,219,2190,1.0,110,518634401.8886585
32,33,3068,32725,236,2360,1.0,118,521295085.7267468
32,33,3081,32864,237,2370,1.0,119,523068785.62255704
32,33,3084,32896,257,2570,1.0,129,525113807.02173144
32,33,3091,32971,281,2810,1.0,141,527439370.77070504
32,33,3102,33088,282,2820,1.0,141,529841392.1046782
32,33,3110,33173,311,3110,1.0,156,529518496.31563634
32,33,3120,33280,312,3120,1.0,156,530343073.1695383
32,33,3123,33312,347,3470,1.0,174,531281376.452556
32,33,3125,33333,625,6250,1.0,313,533793983.90204936
